Report Generation Time , 31_08_2014_18_46_23
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
1, 1000, 1, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/MDPVRP/pr01, 2079.607622, 2079.607622, 2079.607622, 1 
benchmark/MDPVRP/pr02, 4047.676705, 4047.676705, 4047.676705, 1 
benchmark/MDPVRP/pr03, 5100.000497, 5100.000497, 5100.000497, 1 
benchmark/MDPVRP/pr04, 6553.728657, 6553.728657, 6553.728657, 0 
benchmark/MDPVRP/pr05, 7483.257655, 7483.257655, 7483.257655, 0 
benchmark/MDPVRP/pr06, 8541.956270, 8541.956270, 8541.956270, 0 
benchmark/MDPVRP/pr07, 4900.352950, 4900.352950, 4900.352950, 1 
benchmark/MDPVRP/pr08, 7856.658164, 7856.658164, 7856.658164, 0 
benchmark/MDPVRP/pr09, 9616.449675, 9616.449675, 9616.449675, 1 
benchmark/MDPVRP/pr10, 12395.420500, 12395.420500, 12395.420500, 0 

ELAPSED TIME : 0 minutes 44 seconds
