Report Generation Time , 28_08_2014_22_06_08
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
500, 50, 50, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/MDVRP/p15, 2543.386127, 2543.386127, 2543.386127, 1 
benchmark/MDVRP/p16, 2505.417237, 2505.417237, 2505.417237, 1 
benchmark/MDVRP/p11, 3752.482220, 3752.482220, 3752.482220, 1 
benchmark/MDVRP/p18, 3792.842724, 3792.842724, 3792.842724, 1 
benchmark/MDVRP/p19, 3737.876201, 3737.876201, 3737.876201, 1 
benchmark/MDVRP/p20, 3744.849053, 3744.849053, 3744.849053, 1 
benchmark/MDVRP/p21, 5644.071697, 5644.071697, 5644.071697, 1 
benchmark/MDVRP/p22, 5559.953081, 5559.953081, 5559.953081, 1 
benchmark/MDVRP/p23, 5637.540072, 5637.540072, 5637.540072, 1 

ELAPSED TIME : 697 minutes 39 seconds
