Report Generation Time , 02_09_2014_19_18_28
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
10, 50, 50, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/MDPVRP/pr01, 1996.617433, 1996.617433, 1996.617433, 1 

ELAPSED TIME : 1 minutes 8 seconds
