Report Generation Time , 05_07_2014_14_57_43
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
100, 25, 25, 200.000000, 200.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/MDVRP/p11, 3908.374602, 4064.960549, 4277.981928, 3 
benchmark/MDVRP/p21, 6197.237994, 6280.482219, 6349.295455, 3 
benchmark/MDVRP/pr05, 3043.509210, 3189.323749, 3280.217797, 3 
benchmark/MDVRP/pr10, 4264.025862, 4447.637476, 4596.040796, 3 
benchmark/MDPVRP/pr05, 5977.715691, 6050.489035, 6107.525360, 3 
benchmark/MDPVRP/pr06, 7165.522693, 7389.139564, 7593.296380, 3 
benchmark/MDPVRP/pr08, 6775.066773, 7335.978106, 7918.046924, 3 
benchmark/MDPVRP/pr10, 10768.716026, 10856.725555, 11019.317369, 3 

ELAPSED TIME : 39 minutes 37 seconds
