Report Generation Time , 30_08_2014_23_46_15
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
500, 50, 50, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/MDVRP/pr09, 2196.813436, 2196.813436, 2196.813436, 1 
benchmark/MDVRP/pr10, 3083.559886, 3083.559886, 3083.559886, 1 

ELAPSED TIME : 170 minutes 36 seconds
