Report Generation Time , 31_08_2014_15_26_20
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
1, 1, 1, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/PVRP/p06, 12827.859500, 12827.859500, 12827.859500, 0 

ELAPSED TIME : 0 minutes 0 seconds
