Report Generation Time , 31_08_2014_14_31_04
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
1, 500, 1, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/MDPVRP/pr01, 2071.470252, 2071.470252, 2071.470252, 1 
benchmark/MDPVRP/pr02, 3987.833408, 3987.833408, 3987.833408, 1 
benchmark/MDPVRP/pr03, 5156.251108, 5156.251108, 5156.251108, 1 
benchmark/MDPVRP/pr04, 6557.883872, 6557.883872, 6557.883872, 0 
benchmark/MDPVRP/pr05, 7505.900634, 7505.900634, 7505.900634, 0 
benchmark/MDPVRP/pr06, 8415.005504, 8415.005504, 8415.005504, 0 
benchmark/MDPVRP/pr07, 4950.272648, 4950.272648, 4950.272648, 1 
benchmark/MDPVRP/pr08, 7862.937997, 7862.937997, 7862.937997, 1 
benchmark/MDPVRP/pr09, 9740.573959, 9740.573959, 9740.573959, 1 
benchmark/MDPVRP/pr10, 12332.756618, 12332.756618, 12332.756618, 1 

ELAPSED TIME : 0 minutes 23 seconds
