Report Generation Time , 28_08_2014_15_17_42
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
500, 50, 50, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/MDVRP/p04, 1022.472162, 1022.472162, 1022.472162, 1 
benchmark/MDVRP/p05, 753.569747, 753.569747, 753.569747, 1 
benchmark/MDVRP/p06, 886.153280, 886.153280, 886.153280, 1 
benchmark/MDVRP/p07, 893.211507, 893.211507, 893.211507, 1 

ELAPSED TIME : 121 minutes 32 seconds
