Report Generation Time , 31_08_2014_18_49_30
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
1, 1000, 1, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/PVRP/pr01, 2306.091818, 2306.091818, 2306.091818, 1 
benchmark/PVRP/pr02, 4171.630521, 4171.630521, 4171.630521, 1 
benchmark/PVRP/pr03, 6014.041288, 6014.041288, 6014.041288, 1 
benchmark/PVRP/pr04, 7072.765920, 7072.765920, 7072.765920, 1 
benchmark/PVRP/pr05, 8455.034970, 8455.034970, 8455.034970, 0 
benchmark/PVRP/pr06, 9551.468854, 9551.468854, 9551.468854, 1 
benchmark/PVRP/pr07, 5417.346478, 5417.346478, 5417.346478, 1 
benchmark/PVRP/pr08, 8442.065450, 8442.065450, 8442.065450, 1 
benchmark/PVRP/pr09, 12388.971640, 12388.971640, 12388.971640, 0 
benchmark/PVRP/pr10, 16302.186005, 16302.186005, 16302.186005, 0 

ELAPSED TIME : 0 minutes 45 seconds
