Report Generation Time , 31_08_2014_18_48_04
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
1, 1000, 1, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/MDVRP/pr01, 891.538271, 891.538271, 891.538271, 1 
benchmark/MDVRP/pr02, 1506.971118, 1506.971118, 1506.971118, 1 
benchmark/MDVRP/pr03, 1986.854688, 1986.854688, 1986.854688, 1 
benchmark/MDVRP/pr04, 2525.038868, 2525.038868, 2525.038868, 0 
benchmark/MDVRP/pr05, 3536.771740, 3536.771740, 3536.771740, 0 
benchmark/MDVRP/pr06, 3487.967834, 3487.967834, 3487.967834, 0 
benchmark/MDVRP/pr07, 1176.730772, 1176.730772, 1176.730772, 1 
benchmark/MDVRP/pr08, 2011.452944, 2011.452944, 2011.452944, 1 
benchmark/MDVRP/pr09, 2554.714741, 2554.714741, 2554.714741, 1 
benchmark/MDVRP/pr10, 4394.247849, 4394.247849, 4394.247849, 0 

ELAPSED TIME : 0 minutes 19 seconds
