Report Generation Time , 31_08_2014_15_27_22
Number Of Generation, Population Size, Offspring Population Size, LoadPenalty, RouteTime Penalty
1, 2, 1, 10.000000, 10.000000


Instance Name, Min, Avg, Max, Feasible 
benchmark/PVRP/p06, 12823.863438, 12823.863438, 12823.863438, 0 

ELAPSED TIME : 0 minutes 0 seconds
